brand,model,year,mileage,fuel,gearbox,vehicle_condition,car_body,horsepower,engine_size,number_of_owners,accident_history,import_or_local,location,color,air_conditioning,parking_sensor,rear_camera,sunroof,alloy_wheels,bluetooth,gps,price
Kia,Picanto,2013,109951,Diesel,Manuelle,tres bon etat,citadine,78,1.0,1,0,local,Kairouan,noir,0,0,1,0,1,1,0,4642
Ford,Focus,2014,140294,Essence,Manuelle,bon etat,citadine,87,1.1,1,1,local,Kairouan,vert,0,1,1,0,0,1,0,3370
Dacia,Sandero,2013,229089,Essence,Automatique,excellent,compacte,128,1.4,2,0,local,Nabeul,rouge,1,0,1,0,0,0,0,2000
Hyundai,i20,2007,286194,Hybride,Manuelle,excellent,citadine,82,1.1,3,0,local,Nabeul,rouge,0,0,1,1,0,0,0,2000
Renault,Captur,2005,103053,Essence,Automatique,tres bon etat,break,107,1.1,1,0,imported,Gafsa,bleu,1,1,1,0,0,0,1,2243
Suzuki,Vitara,2006,394689,Essence,Automatique,bon etat,citadine,82,1.3,2,0,local,Sfax,vert,0,0,1,1,1,0,0,2000
Fiat,Tipo,2006,223666,Diesel,Manuelle,tres bon etat,compacte,97,1.3,1,1,local,Sfax,gris,0,0,1,0,1,0,0,2000
Dacia,Logan,2019,109154,Essence,Manuelle,moyen,monospace,127,1.8,3,0,local,Nabeul,blanc,1,0,1,1,0,0,0,6721
Dacia,Logan,2014,182100,Diesel,Manuelle,excellent,break,138,1.8,1,0,local,Nabeul,argent,0,1,0,0,0,0,0,2000
Mitsubishi,Outlander,2010,213465,Diesel,Manuelle,tres bon etat,compacte,96,1.2,1,0,imported,Kairouan,rouge,0,1,0,0,0,1,0,2000
Ford,Kuga,2008,285329,Essence,Manuelle,a reparer,break,131,1.6,2,0,local,Tunis,noir,0,0,1,0,1,0,1,2000
Hyundai,i20,2016,152871,Diesel,Manuelle,excellent,SUV,199,2.5,2,0,local,Gabes,rouge,0,0,1,0,1,0,1,7403
Peugeot,3008,2008,185094,Diesel,Automatique,bon etat,berline,132,1.6,2,0,local,Nabeul,noir,0,0,1,0,0,1,1,2000
BMW,520d,2009,252803,Essence,Manuelle,bon etat,monospace,140,2.0,3,1,imported,Kairouan,gris,1,1,0,0,1,1,0,5206
Chery,Tiggo,2007,286521,Diesel,Manuelle,bon etat,break,153,1.7,1,1,imported,Nabeul,gris,0,0,0,0,0,1,1,2000
Chery,Tiggo,2016,45861,Essence,Manuelle,excellent,berline,131,1.8,2,0,local,Ben Arous,argent,0,0,0,0,1,0,0,8573
Renault,Megane,2018,100438,Diesel,Automatique,excellent,SUV,172,2.3,2,1,local,Kairouan,gris,0,0,0,0,0,0,0,8013
Hyundai,Tucson,2010,334431,Diesel,Manuelle,bon etat,break,141,1.8,2,0,local,Ariana,argent,0,0,1,1,1,1,0,2000
BMW,520d,2016,161974,Hybride,Manuelle,tres bon etat,break,145,2.0,2,1,local,Ariana,argent,0,0,0,0,0,0,0,19581
Volkswagen,Golf 6,2005,130664,Essence,Manuelle,bon etat,citadine,65,0.9,1,0,imported,Tunis,argent,0,1,0,1,0,0,1,2000
Volkswagen,Golf 4,2008,138268,Diesel,Manuelle,tres bon etat,monospace,157,1.6,1,0,local,Kairouan,gris,1,1,1,0,0,0,0,2986
Mitsubishi,Lancer,2019,102756,Diesel,Automatique,tres bon etat,citadine,60,1.2,1,0,local,Nabeul,vert,0,1,0,0,0,0,1,12408
Ford,Fiesta,2019,60801,Diesel,Manuelle,bon etat,monospace,147,1.8,3,0,imported,Bizerte,bleu,0,1,0,1,1,0,0,12360
Kia,Rio,2016,170717,Essence,Manuelle,tres bon etat,compacte,129,1.6,2,1,imported,Ariana,noir,0,0,1,0,0,1,0,4084
Nissan,X-Trail,2024,12446,Essence,Automatique,bon etat,citadine,67,0.9,1,0,local,Ariana,gris,0,0,0,1,0,1,0,26766
Ford,Fiesta,2016,131279,Essence,Automatique,moyen,compacte,121,1.7,4,0,local,Bizerte,rouge,0,1,0,1,1,0,1,6972
Nissan,Qashqai,2020,109268,Essence,Automatique,a reparer,break,121,1.5,1,0,local,Gabes,gris,0,1,1,0,1,1,0,9249
Suzuki,Celerio,2007,268650,Essence,Manuelle,bon etat,citadine,71,1.1,2,0,local,Tunis,blanc,1,0,0,0,0,0,1,2000
Mitsubishi,Lancer,2013,218672,Essence,Manuelle,moyen,citadine,66,1.1,1,0,local,Ariana,vert,0,1,0,0,0,0,1,2000
Kia,Carens,2023,34813,Essence,Manuelle,bon etat,SUV,164,1.9,1,0,local,Gafsa,bleu,0,0,1,0,0,0,0,18583
